ID,Sampling,Treatment,Quadrat,Quadrat_code,Depth,Rugosity,Sponge_cover,Coral_Cover,Other_cover
1Low1SC1,1,Low,1,SC1,6.2,0.59,3.333333333,60,36.66666667
1Low2SC2,1,Low,2,SC2,6.5,0.763333333,0,50,50
1Low3SC3,1,Low,3,SC3,7.3,0.635,3.333333333,73.33333333,23.33333333
1Low4SC4,1,Low,4,SC4,8.4,0.688888889,10,50,40
1Low5SC5,1,Low,5,SC5,7.8,0.714444444,3.333333333,63.33333333,33.33333333
1Low6SC6,1,Low,6,SC6,8.6,0.58,0,66.66666667,33.33333333
1Low7SC7,1,Low,7,SC7,7.9,0.692222222,3.333333333,76.66666667,20
1Low8SC8,1,Low,8,SC8,6.5,0.625555556,0,46.66666667,53.33333333
1Low9SC9,1,Low,9,SC9,7.6,0.643333333,0,46.66666667,53.33333333
1Low10SC10,1,Low,10,SC10,7.5,0.59,0,56.66666667,43.33333333
1Low11SC11,1,Low,11,SC11,7.8,0.681111111,3.333333333,53.33333333,43.33333333
1Low12SC12,1,Low,12,SC12,9,0.726666667,0,53.33333333,46.66666667
1Med1SM1,1,Med,1,SM1,7.8,0.64,10,53.33333333,36.66666667
1Med2SM2,1,Med,2,SM2,5.8,0.67,10,33.33333333,56.66666667
1Med3SM3,1,Med,3,SM3,7.5,0.491666667,13.33333333,36.66666667,50
1Med4SM4,1,Med,4,SM4,7.5,0.566666667,10,46.66666667,43.33333333
1Med5SM5,1,Med,5,SM5,6.6,0.605,10,60,30
1Med6SM6,1,Med,6,SM6,8.5,0.702222222,13.33333333,43.33333333,43.33333333
1Med7SM7,1,Med,7,SM7,8.8,0.666666667,6.666666667,50,43.33333333
1Med8SM8,1,Med,8,SM8,9.5,0.602222222,10,60,30
1Med9SM9,1,Med,9,SM9,8.8,0.635555556,13.33333333,46.66666667,40
1Med10SM10,1,Med,10,SM10,6.2,0.682222222,13.33333333,33.33333333,53.33333333
1Med11SM11,1,Med,11,SM11,8.8,0.624444444,13.33333333,46.66666667,40
1Med12SM12,1,Med,12,SM12,8.8,0.591111111,13.33333333,36.66666667,50
1High1SH1,1,High,1,SH1,6.1,0.586666667,33.33333333,40,26.66666667
1High2SH2,1,High,2,SH2,8.1,0.406666667,16.66666667,46.66666667,36.66666667
1High3SH3,1,High,3,SH3,7.9,0.416666667,26.66666667,26.66666667,46.66666667
1High4SH4,1,High,4,SH4,7,0.638333333,26.66666667,50,23.33333333
1High5SH5,1,High,5,SH5,7.4,0.645,26.66666667,50,23.33333333
1High6SH6,1,High,6,SH6,7.2,0.693333333,40,40,20
1High7SH7,1,High,7,SH7,7.6,0.671666667,20,40,40
1High8SH8,1,High,8,SH8,7.9,0.683333333,16.66666667,40,43.33333333
1High9SH9,1,High,9,SH9,7.5,0.675555556,23.33333333,20,56.66666667
1High10SH10,1,High,10,SH10,7,0.653333333,23.33333333,36.66666667,40
1High11SH11,1,High,11,SH11,9,0.63,36.66666667,26.66666667,36.66666667
1High12SH12,1,High,12,SH12,8.8,0.57,23.33333333,40,36.66666667
1Removal1SR1,1,Removal,1,SR1,7.5,0.68,26.66666667,53.33333333,20
1Removal2SR2,1,Removal,2,SR2,7,0.723333333,20,53.33333333,26.66666667
1Removal3SR3,1,Removal,3,SR3,8.1,0.577777778,16.66666667,50,33.33333333
1Removal4SR4,1,Removal,4,SR4,8.9,0.713333333,33.33333333,53.33333333,13.33333333
1Removal5SR5,1,Removal,5,SR5,8.2,0.685555556,30,30,40
1Removal6SR6,1,Removal,6,SR6,9,0.713333333,26.66666667,53.33333333,20
1Removal7SR7,1,Removal,7,SR7,6.7,0.651111111,40,30,30
1Removal8SR8,1,Removal,8,SR8,8.3,0.638888889,26.66666667,50,23.33333333
1Removal9SR9,1,Removal,9,SR9,8.1,0.682222222,23.33333333,46.66666667,30
1Removal10SR10,1,Removal,10,SR10,7.7,0.461111111,23.33333333,20,56.66666667
1Removal11SR11,1,Removal,11,SR11,9,0.703333333,26.66666667,46.66666667,26.66666667
1Removal12SR12,1,Removal,12,SR12,8.6,0.597777778,26.66666667,40,33.33333333
2Low1SC1,2,Low,1,SC1,6.2,0.59,3.333333333,60,36.66666667
2Low2SC2,2,Low,2,SC2,6.5,0.763333333,0,50,50
2Low3SC3,2,Low,3,SC3,7.3,0.635,3.333333333,73.33333333,23.33333333
2Low4SC4,2,Low,4,SC4,8.4,0.688888889,10,50,40
2Low5SC5,2,Low,5,SC5,7.8,0.714444444,3.333333333,63.33333333,33.33333333
2Low6SC6,2,Low,6,SC6,8.6,0.58,0,66.66666667,33.33333333
