ID,Gtime,Time,Sampling,Treatment,Quadrat,Quadrat_code,Amblyglyphidodon curacao,Amblyglyphidodon leucogaster,Amblygobius decussatus,Amblygobius rainfordi,Amphiprion percula,Apogon neotes,Apogon compressus,Apogon rhodopterus,Apogon sp10,Cheilodipterus sp2. Juv,Archamia zosterophora,Ostorhinchus neotes,Arothron nigropunctatus,Lutjanus biguttatus,Atrosalarias fuscus,Balistapus undulatus,Canthigaster papua,Cephalopholis microprion,Chaetodon baronessa,Chaetodon lunulatus,Chaetodon octofasciatus,Chaetodontoplus mesoleucus,Cheilodipterus quinqueliniatus,Chlorurus sordidus ,Oxycheilinus celebicus,Chelinus fasciatus,Bodianus mesothorax,Bodianus loxozonus,Chromis amboinensis,Chromis retrofasciata,Chromis ternatensis,Chrysiptera arnazae,Platax pinnatus,Chrysiptera rollandi,Chrysiptera talboti,Cirrhilabrus exquisitus,Ctenochaetus binotatus,Ctenochaetus striatus,Ctenochaetus strigosus,Ctenochaetus tomionensis,Pseudanthias tuka,Pomacentrus auriventris,Diprotacanthus xanthurus,Escenius bathi,Eviota bifasciata,Eviota fasciola,Eviota guttata,Eviota melasma,Eviota atriventris,Bryaninops amplus,Trypterygiidae sp1,Eviota partimaculata,Exyrias belissimus,Fusigobius signippinis,Gnatholepis anjerensis,Eviota dorsogilva,Gobiodon citrinus,Gobiodon albofasciatus,Cryptocentrus strigilliceps,Gobiodon quinquestrigatus,Halichoeres leucurus,Halichoeres melanurus,Halichoeres hortulanus,Cephalopholis cyanostigma,Choerodon fasciatus,Labroides dimiatus,Pygoplites diacanthus,Labropsis australis,Labropsis manavei,Meiacanthus fraseri,Monotaxis grandoculis,Neoglyphidodon nigroris,Pomacentrus adelus,Pomacentrus aurifrons,Pomacentrus burroughi,Pomacentrus moluccensis,Pomacentrus nigromarginatus,Pomacentrus simsiang,Pseudocheilinus ataenia,Pseudochromis fuscus,Pseudojuloides splendens,Pseudolocheilinus hexataenia,Scarus hypselopterus,Centropyge nox,Pterosynchiropus splendidus,Salarias segmentatus ,Siganus puellus,Siganus vulpinus,Syngnathidae sp1,Synodus variegatus,Thalassoma lunare,Trimma benjamini ,Trimma lantana,Trimma capostriatum,Zanclus cornotus,Zebrasoma scopas,Neoglyphidodon melas,Amblyeleotris guttata,Lethrinus erythropterus,Caesio teres,Chlorurus bleekeri,Cirrhilabrus temminckii,Cheilinus undulatus,Pterois antennata,Halichoeres solorensis ,Chromis lineata,Paracheilinus filamentosus,Centropyge vroliki,Scarus dimidiatus,Labridae sp1,Epibulus insidiator,Heniochus varius,Acantochromis polyacanthus,Chromis caudalis,Halichoeres richmondi,Suffamen bursa,Parupeneus cyclostomus ,Wetmorella nigropinnata,Labrichthys unilineatus,Chromis lepidolepis,Naso elegans,Acanthurus auranticavus,Lutjanus boutton,Chaetodon rafflesii,Acanthurus nigricans,Scarus niger,Amphiprion ocellaris,Pteragogus guttatus,Trinma caudomaculatum,Lutjanus carponotatus,Wetmorella abofasciata,Halichoeres sp1,Neoniphon sammara,Siganus punctatissimus,Halichoeres prosopeion,Cheilodipterus octolineatus,Scorpaenopsis oxycephala ,Choerodon anchorago
1High1SH1,Before,B1,1,High,1,SH1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1High2SH2,Before,B1,1,High,2,SH2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1High3SH3,Before,B1,1,High,3,SH3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1High4SH4,Before,B1,1,High,4,SH4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1High5SH5,Before,B1,1,High,5,SH5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,22,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1High6SH6,Before,B1,1,High,6,SH6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,3,0,0,3,0,2,0,0,0,1,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1High7SH7,Before,B1,1,High,7,SH7,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1High8SH8,Before,B1,1,High,8,SH8,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,8,26,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1High9SH9,Before,B1,1,High,9,SH9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,13,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,27,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,2,0,0,0,0,8,0,5,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1High10SH10,Before,B1,1,High,10,SH10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1High11SH11,Before,B1,1,High,11,SH11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,14,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1High12SH12,Before,B1,1,High,12,SH12,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,1,1,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,0,0,7,0,0,0,0,40,0,0,5,1,1,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,24,9,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1Removal1SR1,Before,B1,1,Removal,1,SR1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,14,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,14,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1Removal2SR2,Before,B1,1,Removal,2,SR2,0,0,0,0,0,1,0,1,1,1,5,0,0,0,0,3,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,29,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,28,0,0,0,0,2,0,0,0,0,0,3,0,11,0,0,0,1,0,2,0,3,0,0,0,1,9,0,3,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1Removal3SR3,Before,B1,1,Removal,3,SR3,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,80,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,6,0,8,0,0,0,0,0,4,0,1,0,0,0,100,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1Removal4SR4,Before,B1,1,Removal,4,SR4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,0,0,1,0,0,0,3,30,1,0,0,23,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,20,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1Removal5SR5,Before,B1,1,Removal,5,SR5,0,0,0,1,0,30,0,0,0,0,0,22,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,5,0,0,0,17,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,95,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1Removal6SR6,Before,B1,1,Removal,6,SR6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
